fold,exact_accuracy,extended_accuracy
1,0.6312830687830688,0.7640542328042328
2,0.62880291005291,0.763558201058201
3,0.6304563492063492,0.7609126984126984
4,0.6261574074074074,0.7605820105820106
5,0.6311177248677249,0.7652116402116402
