HMDVec_X,HMDVec_Y,HMDVec_Z,HMDPos_X,HMDPos_Y,HMDPos_Z,HMDRot_X,HMDRot_Y,HMDRot_Z,HMDRot_W,GazeTarget_X,GazeTarget_Y,GazeTarget_Z,EyeFrames,ViveTiming,Combine_Origin_X,Combine_Origin_Y,Combine_Origin_Z,Combine_GazeDir_X,Combine_GazeDir_Y,Combine_GazeDir_Z,Combine_Validity,Left_Origin_X,Left_Origin_Y,Left_Origin_Z,Left_GazeDir_X,Left_GazeDir_Y,Left_GazeDir_Z,Left_PupilSensor_X,Left_PupilSensor_Y,Left_Diameter,Left_Openness,Left_Validity,Right_Origin_X,Right_Origin_Y,Right_Origin_Z,Right_GazeDir_X,Right_GazeDir_Y,Right_GazeDir_Z,Right_PupilSensor_X,Right_PupilSensor_Y,Right_Diameter,Right_Openness,Right_Validity,Left_HMD2TargAng_X,Left_HMD2TargAng_Y,Left_HMD2TargAng_Z,Left_HMD2EyeAng_X,Left_HMD2EyeAng_Y,Left_HMD2EyeAng_Z,Left_GazePoint_X,Left_GazePoint_Y,Left_GazePoint_Z,Right_HMD2TargAng_X,Right_HMD2TargAng_Y,Right_HMD2TargAng_Z,Right_HMD2EyeAng_X,Right_HMD2EyeAng_Y,Right_HMD2EyeAng_Z,Right_GazePoint_X,Right_GazePoint_Y,Right_GazePoint_Z,Combine_HMD2TargAng_X,Combine_HMD2TargAng_Y,Combine_HMD2TargAng_Z,Combine_HMD2EyeAng_X,Combine_HMD2EyeAng_Y,Combine_HMD2EyeAng_Z,Combine_GazePoint_X,Combine_GazePoint_Y,Combine_GazePoint_Z,HR,GSR,fms,phys,mental,digit,Luminance,HOG_features,Spectral_Entropy,Temporal_Smoothness,Optical_Flow,Frame_Rate,Scene_Complexity,Motion_Intensity,Visual_Contrast,FOV,Reaction_Time,HRV,Fixation_Duration,Gaze_Error_Angle,Eye_Blink_Rate
-0.535703188,0.435571509,0.669132179,2.452216299,20.99254357,-1.150065335,-0.253022308,-0.277418119,0.054070662,0.911548795,-0.959999979,17.70000076,-1.179999948,22172.06667,5465101384,-1.69053243,4.598089854,-36.93502426,0.085738881,-0.011903636,0.987023417,1.0,27.65740407,5.739014435,-33.20625,0.015118154,0.000214132,0.992630768,0.666711635,0.424006391,2.995416005,1.0,1.0,-30.38362528,3.450974274,-40.48268585,0.136758423,-0.024642944,0.982142893,0.463060868,0.560396693,2.831191254,1.0,1.0,37.28397382,-83.49394252,49.45452881,0.010067493,0.887221722,-90.04281667,-0.113506879,23.00644725,1.893975679,36.88264179,-83.20407308,49.53669993,-1.416360433,7.94689731,-90.27478027,-0.509428451,22.79737609,1.674035516,37.07228266,-83.37405701,49.47967478,-0.685832031,4.987733244,-90.27052256,-0.335231783,22.90957985,1.735498617,89.86945689,1.831448848,1,1,2,60,330.90508913552185,45.68046183663646,0.23993830480587802,3.1685150144636944,-1.6559882101125134,113.84383909929518,16.138120753490973,0.16670324301500763,0.4781076572506059,86.11152179833,452.6724458675536,60.70358878435444,382.4164867828025,91.24465750897237,0.0
-0.648157671,-0.367689871,0.127628476,1.722443915,21.53068839,-0.493538393,0.178637206,-0.590230281,0.074876691,0.682958832,-0.959999979,18.41428648,-1.179999948,22288.75,5474857504,-19.86083385,3.547902788,-39.70689556,0.222864151,-0.173658643,0.952775683,1.0,28.46492958,5.312979562,-34.08453914,0.144277845,-0.166422163,0.966154643,0.618862481,0.473882224,3.327175413,1.0,1.0,-29.57321031,3.201818739,-40.83015851,0.23213768,-0.175614493,0.950202669,0.417360246,0.597020919,3.119120734,1.0,1.0,31.30627288,-14.16813912,84.66745785,-9.59394346,8.536251518,-91.68343353,-0.726289725,19.51548266,-0.291010603,30.76841371,-14.15746271,84.60745375,-10.13020161,13.75177164,-92.60914176,-0.823991134,19.5320986,-0.575183917,30.86431568,-14.17483262,84.60570213,-10.01553181,13.1892706,-92.47380284,-0.834455585,19.53221219,-0.545711306,91.92815432,1.835903826,1,1,2,60,763.0357298074372,24.810634307089572,0.3975309522852401,3.030318723737058,-1.0542768468107622,67.1628606802918,68.17700569089114,0.8428062015550228,0.5046467510156779,90.21154513032647,396.309817780119,59.63194492618916,434.03735168448617,33.96368446149078,0.0
-0.24399819,-0.156171679,-0.421859248,0.934278181,25.77217478,-0.456594581,0.097000136,-0.79819861,0.022680419,0.277698774,-0.959999979,22.70000076,-1.179999948,22412.46154,5485130664,-24.21084923,3.811673208,-40.24832764,-0.04378803,-0.100286396,0.98938763,1.0,26.89488009,5.575715285,-33.53710797,-0.108119084,-0.076023513,0.98544781,0.713699822,0.442921018,2.96067364,1.0,1.0,-31.16413762,3.553965877,-41.11915776,-0.037677471,-0.10224445,0.988948646,0.519571439,0.575619366,2.658126127,1.0,1.0,47.77041262,30.98757595,70.07984666,-4.365518893,-6.248178235,-89.65146766,-0.187511641,24.85645394,-1.730524939,47.16003582,31.28117773,70.25228307,-5.875241793,-2.172287747,-89.84953942,-0.029906161,24.79569787,-1.814739028,47.22942364,31.17574737,70.17868148,-5.761964299,-2.52751745,-89.79840323,-0.057206611,24.79920904,-1.822301716,94.76576071,1.83640706,1,1,2,60,598.9954563585538,53.35207579026865,0.38319397861513416,7.09989823933598,0.2994058693023298,79.6705702731491,52.77373526298393,0.5637896919518176,0.3759226700270688,94.29703830740056,461.99965974898925,56.87856913609316,180.1321253585898,56.591038879354855,0.0
-0.602374419,-0.356147345,0.057967417,0.606505191,25.73519427,-0.496123758,0.151201165,-0.583344558,0.049162399,0.662800152,-0.959999979,22.70000076,-1.179999948,22529.7,5494892266,-0.412443797,4.620720927,-37.43466924,0.143083191,-0.146652985,0.969094849,1.0,28.63728663,5.728710938,-34.26764933,0.12129364,-0.139987946,0.971603902,0.616326196,0.456413533,2.899326579,1.0,1.0,-29.76108907,3.479752858,-40.56210073,0.162833405,-0.150603994,0.964468892,0.434938712,0.579473795,2.724244944,1.0,1.0,47.4360014,-21.16709496,79.20704842,-8.055012004,7.119345215,-91.13538818,-1.279934607,24.03696197,-0.582684103,46.83738359,-20.89835725,79.4159153,-8.67077179,9.583563781,-91.5366216,-1.263808203,24.01313899,-0.670883186,47.15301183,-21.08932821,79.26826452,-8.441010539,8.399615562,-91.32383321,-1.285257527,24.02030319,-0.62399166,98.7093841,1.845674731,1,1,2,60,498.99386314777746,79.83566687011266,0.3728851593503999,5.7089209594622865,-3.3863264161161686,108.94472283756726,75.03765223820744,0.6336294857002831,0.4775537532404643,88.8819653011684,618.4320957045934,70.9531486816463,196.67709731550235,51.65429593934295,0.0
0.434023912,-0.089463359,-0.877033604,-0.970278412,25.80543234,-0.553199135,-0.025076534,-0.96813687,0.039641096,-0.226127839,-0.959999979,22.70000076,-1.179999948,22651.33333,5505012455,-19.05974539,3.830451831,-39.36838813,0.004918416,-0.130664759,0.986622593,1.0,27.45403223,5.607912298,-33.65858486,-0.029842176,-0.113182202,0.987640916,0.68106821,0.449493832,3.101194683,1.0,1.0,-30.94134736,3.362566496,-40.77913679,0.012566817,-0.13454879,0.986137256,0.503160297,0.584248093,2.842802349,1.0,1.0,72.96849863,6.009473929,-20.73037941,-6.506577877,-1.714193524,-89.95597009,0.267539118,25.16828898,-3.324553544,73.19706264,9.771119476,-17.11741732,-7.737235621,0.742191913,-90.19263873,0.437076085,25.09811649,-3.24881836,73.17276456,9.081126607,-17.77264411,-7.51357711,0.298333321,-90.14135207,0.40504156,25.11015815,-3.262938073,101.3249295,1.890402289,1,1,2,60,167.01398033182738,68.5779909127649,0.8343782063647256,6.576769780339606,0.7199587828359277,95.83874269984271,51.24970389524581,0.829261509810442,0.43618749580314586,95.44788486177448,306.07639346838454,48.81601553993765,438.0037971758156,73.73411919732652,0.0
0.676391005,-0.064477995,0.187420158,-1.242961224,25.74830833,-1.246970959,0.005959802,0.209212651,-0.019541967,0.48796176,-0.959999979,22.70000076,-1.179999948,22769.74603,5514859795,5.394450596,4.922333975,-36.87165348,0.129599919,-0.129215785,0.9776311,1.0,28.41146124,5.899032593,-34.47354998,0.108111911,-0.125795395,0.981238229,0.626212333,0.449754177,3.28330921,1.0,1.0,-30.05736845,3.486507113,-40.6626335,0.161610679,-0.131684076,0.97316633,0.447073166,0.577320421,3.067244272,1.0,1.0,79.61776031,8.425318188,-57.70287844,-7.231150794,6.273878453,-90.6809518,0.619655074,25.18572159,-0.384512635,80.239784,4.175807162,-50.55365245,-7.570924305,9.415475529,-91.14698234,0.624075663,25.18308633,-0.281763862,79.84279245,5.420496808,-54.99590955,-7.428514269,7.537614478,-90.86931792,0.602427193,25.17958423,-0.353736243,103.405772,1.950120946,1,1,2,60,166.99589025215198,74.52489182891598,0.37468233989465427,2.7532752915474927,3.0543232929998627,83.61813121664653,22.697439079246728,0.3764961351206316,0.5959636873755914,84.96111276539558,635.9451947088223,72.22464971349802,161.3352665436739,80.02657865896377,0.0
-0.625502275,0.08725999,-0.243643465,-1.304320463,25.80220319,-0.794741631,-0.022214456,0.743830678,0.059430476,-0.519810395,-0.959999979,22.70000076,-1.179999948,22892.70149,5525129157,-15.38099739,4.104155811,-39.00766492,0.156693416,-0.093660952,0.978264197,1.0,28.51642939,6.026647084,-34.46444862,0.111494377,-0.083199117,0.986439036,0.621879458,0.438562474,3.152909919,1.0,1.0,-29.97568432,3.435674411,-40.3831778,0.171094524,-0.095088219,0.976005896,0.442357486,0.570622271,2.957917626,1.0,1.0,81.81437228,-123.8619644,-53.76473794,-4.776540272,6.448826672,-90.51283059,-3.228011323,25.83422627,-1.780667539,82.3774479,-120.7915752,-50.68952532,-5.461706361,9.943839806,-90.9272634,-3.100119005,25.80878409,-1.881548543,82.26467804,-121.6148994,-51.51073046,-5.379422316,9.103849888,-90.83872599,-3.122993532,25.81042244,-1.851728444,107.9600295,2.004834313,1,1,2,60,93.5627091261496,62.70266933685739,0.3903648082900417,5.374118697248992,2.6016092979015903,88.40613956250128,65.10184109661486,0.5972058489104674,0.8904844061169721,109.331384384765,653.8789757987593,41.56670157093435,443.28970096514166,146.82527374092302,0.0
0.397135934,-0.05018853,0.439111216,-2.022950896,25.8122609,-1.158031326,0.067474521,0.35476706,0.084704083,0.803121253,-0.959999979,22.70000076,-1.179999948,23008.76271,5534772179,-6.677703082,3.959671796,-32.40322359,-0.055758977,-0.15749941,0.675767284,0.847457627,28.15703777,6.189660282,-33.83820149,0.065978228,0.004044096,0.814574161,0.579868379,0.368690667,2.288932412,0.941649272,0.830508475,-30.20748901,3.806125706,-40.5641839,0.115354118,-0.007742672,0.823534173,0.447778133,0.54818978,2.198352361,0.929846811,0.847457627,72.11989956,0.809489299,-131.9435308,0.2355989,3.846270684,-75.23767659,-1.272173544,25.52579718,0.63575618,72.89339719,-1.167202261,-133.7919275,-0.442548634,6.770402173,-76.83325454,-1.221836971,25.48498128,0.668520001,72.53111319,-0.483418182,-133.1818928,-5.661655245,-14.92816847,-67.57097451,-1.542477329,25.23158549,0.357436031,113.0705704,2.047347102,1,1,2,60,699.6321093312014,65.3821251614282,0.7315787836925747,5.002221882006241,-3.461000953062263,111.27284359213081,24.65284077893913,0.13103956378311,0.36791220589007273,83.23773664894982,676.0185617652496,75.60245026034544,151.39334492549662,72.53272415757786,0.06425195849999998
0.128045475,0.296846681,0.933228128,-2.073721333,25.90215668,-0.649981165,-0.153768749,0.062548661,-0.015290045,0.982584455,-0.959999979,22.70000076,-1.179999948,23130.84127,5544915606,-9.042843047,4.51460363,-37.78454663,0.016083975,-0.031000047,0.997679695,1.0,27.77253069,5.971462189,-33.63639202,-0.009996202,-0.025669158,0.997976878,0.666564424,0.423123039,2.848697238,1.0,1.0,-30.77986363,3.695805141,-40.42488122,0.029661875,-0.037176223,0.9975087,0.494312582,0.552387018,2.624439784,1.0,1.0,55.36578393,130.8116386,-37.18751732,-1.471463121,-0.573588462,-90.04253618,-1.622126963,26.85166456,2.656672934,55.81917106,132.1984576,-36.01846477,-2.131153934,1.70345502,-90.10943168,-1.699709039,26.81921665,2.675277708,55.649016,131.6774183,-36.46136602,-1.777033054,0.92381868,-90.08691891,-1.675004399,26.83836661,2.667518105,112.402694,2.071735126,1,1,2,60,500.8362588074066,77.93565212522554,0.514817889715378,6.829812637517898,-3.507505302585261,80.40026316359354,84.15353788515927,0.24941802258490348,0.7681741505658071,107.95832418963116,428.8695965901825,61.919418804874404,412.1005966953994,142.95368296032612,0.0
0.084299776,0.616488732,0.76957983,-1.998692973,26.1875956,0.541099215,-0.328859379,0.050231474,0.014141976,0.940157986,-0.959999979,22.70000076,-1.179999948,23252.38806,5555080388,-16.37215025,4.03920279,-38.67977951,0.047696925,-0.064643063,0.99552963,1.0,27.95066241,5.83008769,-33.80822207,-0.008244073,-0.057693026,0.997452693,0.659966958,0.434681378,2.831041251,1.0,1.0,-30.59397251,3.501288115,-40.37868762,0.067863123,-0.065892917,0.994856877,0.481353856,0.56355533,2.651347374,1.0,1.0,24.91502385,159.4025002,-3.592670611,-3.309156276,-0.473084459,-89.9780483,-1.638108125,28.50645393,3.795699596,24.89805926,160.3299939,-3.172655134,-3.780008345,3.902440523,-90.25610124,-1.886370024,28.47377208,3.838166255,24.91244925,160.121958,-3.246823325,-3.708298413,2.744205016,-90.20263809,-1.817116602,28.4798545,3.827682698,111.0373186,2.087066366,1,1,2,60,581.0544333470341,29.973440708734877,0.7436973898686268,7.342609423368824,-2.3182563225508668,112.17898108873028,62.114880320885526,0.764996644071954,0.746733952868533,107.40734034208084,347.71318181695233,35.430628161465634,242.19755429632485,162.04836179791388,0.0
